Unnamed: 0,FACT_ID,YEAR,NIC1987,state,scheme,urban,lnY,lnK,lnL,lnM,lnW,panelgroup,residuals
1,0000206F,2008,352,6,Census,0,17.1682422227794,15.786238320452599,5.12396397940326,16.4816075593481,15.662865157581699,356,-0.00839147983650435
2,0000206F,2009,321,6,Census,0,17.2107732157717,15.7925952760012,4.85981240436167,16.4583631609056,15.6547003505757,326,0.0388227240427259
3,0000208B,2008,314,8,Census,1,16.0353867194102,10.766847930325902,5.50125821054473,14.8353062563675,15.082003290041001,318,0.250023303087516
4,0000208B,2009,314,8,Census,1,15.844374757920198,10.6109407081404,5.53733426701854,15.1731390752665,15.019676359917801,318,0.0120446833457448
5,0000706F,2008,351,6,Census,1,14.543024482304,13.871224611652698,1.79175946922805,14.103404241863199,11.968693280694803,356,-0.0417151260705353
6,0000706F,2009,313,6,Sample,1,15.6684576864605,13.701100346568902,1.9459101490553101,15.486346763419302,12.604370082808002,316,-0.0748059440943827
7,0000733F,2008,369,33,Sample,0,17.5669154314811,13.3869674155632,4.7957905455967405,17.204905209753402,15.3296681596966,3633,-0.0395850490136098
8,0000733F,2009,369,33,Census,0,17.669107862108,13.3596974944681,4.64439089914137,17.3553152166453,15.2623732427687,3633,-0.0429008208683097
9,0000806F,2008,381,6,Census,1,20.523345709039,18.8582731927682,5.433722003554241,19.9689590673846,17.4604951537364,386,0.071109855746295
10,0000806F,2009,381,6,Census,1,20.4320102019763,19.1700874493306,5.50938833662798,19.9086495345373,17.553163060604803,386,0.0371007003444337
11,0000833F,2008,341,33,Census,0,17.2855569127473,15.0486991501789,4.6634390941120705,16.7028157104289,15.1067295083074,3433,-0.0047726275186281706
12,0000833F,2009,369,33,Sample,0,17.630520043175398,14.8903531751989,4.33073334028633,17.2604154596057,15.247429246122,3633,-0.0462598994582066
13,0001106F,2008,361,6,Census,0,14.2441860783976,14.0866297254271,2.5649493574615403,13.6138753427115,12.875806847010699,366,-0.0364888856773158
14,0001106F,2009,361,6,Sample,0,14.449024855337699,14.28786852355,2.484906649788,13.6231913352917,12.924010165761599,366,0.0607507608827769
15,0001333F,2008,369,33,Census,0,19.259591970448998,17.1872509663367,5.57594910314632,18.1503721394059,16.9414260916854,3633,0.244428296025678
16,0001333F,2009,369,33,Census,0,19.5020938274235,17.031959237906698,6.167516490888339,18.403297736088604,17.502763904283302,3633,0.22480031368359302
17,0001608B,2008,314,8,Census,1,13.996310880811501,12.641697348494999,4.20469261939097,12.921779157193699,13.3735433633503,318,0.0748143092250073
18,0001608B,2009,314,8,Sample,1,13.768220946156198,11.055421905930901,4.15888308335967,12.962201211487999,11.729189374423198,318,-0.00823855936231421
19,0001806F,2008,313,6,Census,0,17.9545818625282,15.010463000058902,2.19722457733622,17.8343477887481,12.9431950354419,316,0.0119998606026428
20,0001806F,2009,352,6,Census,0,18.4468439041109,14.8079532385588,2.6390573296152597,18.2066570776602,13.6076684852364,356,0.0768159623875579
21,0002033F,2008,341,33,Census,0,20.3558517605364,19.0970696740949,7.0422861719397405,19.3843183573691,17.933237856360897,3433,0.11941910926722302
22,0002033F,2009,341,33,Census,0,20.213282779006,18.9991022388204,6.97728134163075,19.2863606579799,17.657679534013102,3433,0.0964850384615659
23,0002106F,2008,352,6,Census,1,17.5855712962641,17.260195981090302,3.8712010109078903,16.9458694238685,15.1682667616737,356,0.0375506010490287
24,0002106F,2009,351,6,Sample,1,17.0555665901246,17.1362459363762,4.62497281328427,17.0190771504175,15.4519400298689,356,-0.302574501523415
25,0002306F,2008,324,6,Census,1,15.219332707634802,14.3919545338658,2.3978952727983702,15.0996178535762,13.2605047122714,326,-0.18193783774323102
26,0002306F,2009,324,6,Sample,1,14.915231863551499,14.2373229537126,2.5649493574615403,14.5176833950654,13.0155151614692,326,-0.0917084574198404
27,0002406F,2008,321,6,Census,0,19.4271391441508,18.021564938838697,5.433722003554241,18.4604365689404,16.8619996172312,326,0.19186795261328302
28,0002406F,2009,321,6,Census,0,19.142501212765502,17.944359053555104,5.6021188208797,18.127609813356102,16.8272363337805,326,0.183080914748119
29,0002603F,2008,382,3,Census,1,16.5723671413532,13.7094144405964,2.19722457733622,16.3187220035038,12.536539466059699,383,0.00575648877474499
30,0002603F,2009,324,3,Census,1,16.643503238697697,13.9022051731089,2.484906649788,16.709716585427802,12.6171009320451,323,-0.149421572497607
31,0002806F,2008,321,6,Census,1,18.4053492233544,16.658693043631498,4.21950770517611,17.9518658825028,14.819658063234598,326,0.013366508202158999
